scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
heads,train,seq-02,heads/seq-02/frame-000000.color.png,0.0957296,-0.041082099999999996,0.1324871,0.996129,-0.082498,0.026368400000000004,-0.0150289
heads,train,seq-02,heads/seq-02/frame-000001.color.png,0.0962454,-0.04146369999999999,0.1316716,0.9962549999999999,-0.0812886,0.026012200000000003,-0.0138364
heads,train,seq-02,heads/seq-02/frame-000002.color.png,0.095965,-0.0424779,0.13065710000000003,0.9963054,-0.08068660000000001,0.0264873,-0.012789499999999999
heads,train,seq-02,heads/seq-02/frame-000003.color.png,0.0954895,-0.0432784,0.129332,0.9964048000000001,-0.0792678,0.0270606,-0.0127217
heads,train,seq-02,heads/seq-02/frame-000004.color.png,0.0959595,-0.0437774,0.1279806,0.9964396999999999,-0.07796619999999999,0.0286793,-0.0143751
heads,train,seq-02,heads/seq-02/frame-000005.color.png,0.0959508,-0.0451481,0.12681040000000002,0.9963808000000001,-0.0770362,0.0312475,-0.0177278
heads,train,seq-02,heads/seq-02/frame-000006.color.png,0.0970526,-0.0472695,0.1254234,0.9963869000000001,-0.0752768,0.0336392,-0.0203718
heads,train,seq-02,heads/seq-02/frame-000007.color.png,0.0967133,-0.049481800000000006,0.1237513,0.996607,-0.0715609,0.0347009,-0.021198599999999998
heads,train,seq-02,heads/seq-02/frame-000008.color.png,0.0966795,-0.050936699999999994,0.1218889,0.9970357,-0.0661395,0.0329215,-0.021484700000000002
heads,train,seq-02,heads/seq-02/frame-000009.color.png,0.09714539999999999,-0.0507547,0.12047429999999999,0.9974068000000001,-0.061075199999999996,0.030989999999999997,-0.0221173
heads,train,seq-02,heads/seq-02/frame-000010.color.png,0.0967739,-0.0513595,0.11950350000000001,0.9974706,-0.0591299,0.031707099999999995,-0.023467
heads,train,seq-02,heads/seq-02/frame-000011.color.png,0.0969875,-0.05139590000000001,0.1195149,0.9974723,-0.0591506,0.031684500000000004,-0.023375299999999998
heads,train,seq-02,heads/seq-02/frame-000012.color.png,0.09755499999999999,-0.053385300000000004,0.1178432,0.9973960999999999,-0.057158900000000006,0.0350505,-0.026557499999999998
heads,train,seq-02,heads/seq-02/frame-000013.color.png,0.09841810000000001,-0.053552300000000004,0.11623430000000001,0.9975178,-0.0533496,0.0371682,-0.0270275
heads,train,seq-02,heads/seq-02/frame-000014.color.png,0.09812939999999999,-0.0534524,0.1162685,0.9975229,-0.0532605,0.037193699999999996,-0.0269834
heads,train,seq-02,heads/seq-02/frame-000015.color.png,0.0992265,-0.054823800000000006,0.1144462,0.9977166999999999,-0.0522531,0.0370714,-0.021372299999999997
