scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
stairs,train,seq-02,stairs/seq-02/frame-000000.color.png,-0.0635736,-0.8734909,-0.14802010000000002,0.9297232,-0.24675229999999998,-0.2324045,-0.14393129999999998
stairs,train,seq-02,stairs/seq-02/frame-000001.color.png,-0.06270919999999999,-0.8726276,-0.1487956,0.9299787,-0.2461187,-0.232474,-0.1432516
stairs,train,seq-02,stairs/seq-02/frame-000002.color.png,-0.06312240000000001,-0.8688132,-0.15098440000000002,0.9300688,-0.24433850000000001,-0.23376370000000002,-0.1436148
stairs,train,seq-02,stairs/seq-02/frame-000003.color.png,-0.0640936,-0.8696536,-0.1509957,0.9299506999999999,-0.24506060000000002,-0.2331335,-0.1441731
stairs,train,seq-02,stairs/seq-02/frame-000004.color.png,-0.062215999999999994,-0.8687925999999999,-0.15051040000000002,0.9301031999999999,-0.24434850000000002,-0.23340059999999999,-0.1439654
stairs,train,seq-02,stairs/seq-02/frame-000005.color.png,-0.0614587,-0.8671803,-0.15078729999999999,0.9302279,-0.24379,-0.23375370000000004,-0.1435327
stairs,train,seq-02,stairs/seq-02/frame-000006.color.png,-0.0626197,-0.8664393,-0.1526249,0.9294465000000001,-0.2444958,-0.2362069,-0.143378
stairs,train,seq-02,stairs/seq-02/frame-000007.color.png,-0.0619529,-0.8650171999999998,-0.1520469,0.9289516,-0.2443626,-0.23854989999999998,-0.142933
stairs,train,seq-02,stairs/seq-02/frame-000008.color.png,-0.059903599999999994,-0.8663073,-0.1498348,0.9283021999999999,-0.2442654,-0.24003670000000002,-0.1448165
stairs,train,seq-02,stairs/seq-02/frame-000009.color.png,-0.0618877,-0.8653405000000001,-0.1523072,0.9287521000000001,-0.244031,-0.23888389999999998,-0.14423229999999998
stairs,train,seq-02,stairs/seq-02/frame-000010.color.png,-0.0606654,-0.8637745000000001,-0.15301700000000001,0.9289773000000001,-0.24323240000000002,-0.239429,-0.1432235
stairs,train,seq-02,stairs/seq-02/frame-000011.color.png,-0.0604072,-0.8636417,-0.1526422,0.9286644000000001,-0.2432185,-0.24055120000000002,-0.14339570000000001
stairs,train,seq-02,stairs/seq-02/frame-000012.color.png,-0.060735800000000006,-0.8644924999999999,-0.15393120000000002,0.9287021999999999,-0.2431526,-0.2405577,-0.1432516
