scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
KingsCollege,train,seq8,KingsCollege/seq8/frame00001.png,33.175974,-22.801465,1.445929,0.721892,0.6240140000000001,0.169282,-0.246619
KingsCollege,train,seq8,KingsCollege/seq8/frame00002.png,33.209590999999996,-22.74987,1.436124,0.722427,0.62336,0.167775,-0.24773499999999998
KingsCollege,train,seq8,KingsCollege/seq8/frame00003.png,33.200590999999996,-22.653295999999997,1.462828,0.724023,0.6216659999999999,0.163881,-0.249931
KingsCollege,train,seq8,KingsCollege/seq8/frame00004.png,33.070324,-22.313088,1.714056,0.728258,0.618698,0.157236,-0.24925799999999998
KingsCollege,train,seq8,KingsCollege/seq8/frame00005.png,32.335778999999995,-22.594894,1.549094,0.736225,0.60388,0.158038,-0.261393
KingsCollege,train,seq8,KingsCollege/seq8/frame00006.png,31.817120000000003,-22.493045000000002,1.507578,0.735563,0.612753,0.138701,-0.253461
KingsCollege,train,seq8,KingsCollege/seq8/frame00007.png,31.170278999999997,-22.324362,1.622667,0.766569,0.582908,0.138504,-0.2311
KingsCollege,train,seq8,KingsCollege/seq8/frame00008.png,30.435779999999998,-22.270689,1.583911,0.7797689999999999,0.582329,0.10328499999999999,-0.205391
KingsCollege,train,seq8,KingsCollege/seq8/frame00009.png,29.824357,-21.978109,1.7555490000000002,0.792882,0.569786,0.074748,-0.202718
KingsCollege,train,seq8,KingsCollege/seq8/frame00010.png,29.145427,-22.165855,1.6915200000000001,0.800117,0.568469,0.062002999999999996,-0.18113900000000002
KingsCollege,train,seq8,KingsCollege/seq8/frame00011.png,28.554809999999996,-22.601437,1.674348,0.816734,0.533411,0.083745,-0.20348
KingsCollege,train,seq8,KingsCollege/seq8/frame00012.png,27.545184999999996,-22.556603,1.9105869999999998,0.7701720000000001,0.582782,0.11965899999999999,-0.229962
KingsCollege,train,seq8,KingsCollege/seq8/frame00013.png,26.839557,-22.454247,1.928567,0.767231,0.5883649999999999,0.11577,-0.227552
