scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
OldHospital,train,seq9,OldHospital/seq9/frame00001.png,-14.830566000000001,0.101748,13.257995999999999,0.141279,0.8502770000000001,0.057773000000000005,0.503718
OldHospital,train,seq9,OldHospital/seq9/frame00002.png,-14.836994,0.195603,13.300664000000001,0.139012,0.8451489999999999,0.06219500000000001,0.5123770000000001
OldHospital,train,seq9,OldHospital/seq9/frame00003.png,-14.844807999999999,0.197716,13.373710999999998,0.139977,0.839894,0.062822,0.520613
OldHospital,train,seq9,OldHospital/seq9/frame00004.png,-14.649637,-0.284695,13.470156,0.15634,0.8243729999999999,0.058279,0.540898
OldHospital,train,seq9,OldHospital/seq9/frame00005.png,-14.175426999999999,-0.178097,13.673070000000001,0.150721,0.837142,0.04874,0.523547
OldHospital,train,seq9,OldHospital/seq9/frame00006.png,-13.864563,-0.259767,14.141141000000001,0.16114,0.871849,0.077046,0.45604399999999995
OldHospital,train,seq9,OldHospital/seq9/frame00007.png,-13.494945999999999,-0.069877,14.611868,0.173927,0.8826299999999999,0.091849,0.42694099999999996
OldHospital,train,seq9,OldHospital/seq9/frame00008.png,-13.236336999999999,-0.280033,15.246382,0.190518,0.8844290000000001,0.105952,0.412629
OldHospital,train,seq9,OldHospital/seq9/frame00009.png,-13.134006,0.380947,16.132162,0.177196,0.884598,0.106723,0.417968
OldHospital,train,seq9,OldHospital/seq9/frame00010.png,-13.001542,-0.643943,17.100811,0.18648499999999998,0.875934,0.079066,0.43784799999999996
OldHospital,train,seq9,OldHospital/seq9/frame00011.png,-12.910713000000001,-0.215298,17.156812,0.149573,0.865914,0.084566,0.469754
OldHospital,train,seq9,OldHospital/seq9/frame00012.png,-12.729435,-0.660906,17.518447000000002,0.184826,0.8613219999999999,0.072368,0.467682
OldHospital,train,seq9,OldHospital/seq9/frame00013.png,-12.842004,-0.525482,18.447665,0.17691400000000002,0.859527,0.095709,0.46984499999999996
OldHospital,train,seq9,OldHospital/seq9/frame00014.png,-12.724161,-0.566894,18.950602,0.188797,0.850799,0.095696,0.48097700000000004
OldHospital,train,seq9,OldHospital/seq9/frame00015.png,-12.763829,-0.412788,20.011107,0.177519,0.857764,0.08935900000000001,0.474071
OldHospital,train,seq9,OldHospital/seq9/frame00016.png,-12.658769,-0.554286,20.394142000000002,0.179527,0.851191,0.088155,0.485255
OldHospital,train,seq9,OldHospital/seq9/frame00017.png,-12.828984,-1.1038629999999998,21.023429999999998,0.188907,0.859392,0.064188,0.470787
OldHospital,train,seq9,OldHospital/seq9/frame00018.png,-12.750779,-0.917825,21.812288,0.176369,0.888727,0.045446,0.420705
