scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00001.png,29.073991,-0.463922,57.676704,0.363691,0.0008349999999999999,0.929076,-0.067424
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00002.png,29.026684000000003,-0.429609,57.66278000000001,0.366483,-0.001114,0.92798,-0.067425
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00003.png,29.000915000000006,-0.4107770000000001,57.663726,0.367913,-0.002151,0.927411,-0.06744700000000001
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00004.png,28.808236,-0.390273,57.771658,0.371557,-0.005876,0.926126,-0.064816
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00005.png,28.230454,-0.208156,57.826496,0.373696,0.007033,0.921658,-0.104192
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00006.png,27.564092,-0.383514,57.809584,0.35745,-0.013494,0.927139,-0.111649
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00007.png,26.958042,-0.346486,57.917187,0.345372,-0.017190999999999998,0.925449,-0.154813
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00008.png,26.345964,-0.325265,57.998502,0.290611,-0.006137,0.94253,-0.164795
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00009.png,25.818842,-0.364843,57.938979,0.247378,0.005229,0.9467,-0.206255
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00010.png,25.168282,-0.347787,58.117102,0.221302,-0.002682,0.950464,-0.218279
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00011.png,24.467539,-0.319269,58.32713199999999,0.25758200000000003,-0.01543,0.944928,-0.201323
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00012.png,23.812901,-0.138699,58.526135,0.259049,-0.024503,0.952842,-0.156191
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00013.png,23.184005,-0.052428,58.370963,0.314494,0.022008,0.944671,-0.090616
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00014.png,22.523142,-0.179594,58.333107,0.33868400000000004,0.037584,0.938333,-0.05844600000000001
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00015.png,21.972506,-0.041646,58.109403,0.328296,0.019473,0.94262,-0.05755800000000001
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00016.png,21.362206,0.009061,57.964353,0.296417,0.022424,0.951944,-0.073741
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00017.png,20.818314,0.057112,57.673894,0.255363,0.019123,0.964206,-0.068843
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00018.png,20.346562,0.020351,57.08799499999999,0.304585,0.033759,0.949834,-0.06254900000000001
